MemberID,FullName,ProfileImageURL,Programme,Branch,BatchYear,Email,ContactNumber,Age,Gender
28498438,Myra Khan,https://robohash.org/28498438.png?set=set4,M.Tech.,Computer Science and Engineering,2029,myra.khan@iitgn.ac.in,6371872528,22,F
28498439,Anaya Mehta,https://robohash.org/28498439.png?set=set4,M.Tech.,Integrated Circuit Design and Technology,2029,anaya.mehta@iitgn.ac.in,6157043256,24,F
28498440,Ayaan Nair,https://robohash.org/28498440.png?set=set4,PhD,Artificial Intelligence,2026,ayaan.nair@iitgn.ac.in,9965758745,29,M
28498441,Kiara Singh,https://robohash.org/28498441.png?set=set4,B.Tech.-M.Tech. Dual Degree,Artificial Intelligence,2028,kiara.singh@iitgn.ac.in,9146086242,22,F
28498442,Arjun Mishra,https://robohash.org/28498442.png?set=set4,B.Tech.,Computer Science and Engineering,2029,arjun.mishra@iitgn.ac.in,9036360323,23,M
28498443,Aadhya Yadav,https://robohash.org/28498443.png?set=set4,PhD,Physics,2031,aadhya.yadav@iitgn.ac.in,8957796664,31,F
28498444,Aadhya Mishra,https://robohash.org/28498444.png?set=set4,PhD,Mechanical Engineering,2029,aadhya.mishra@iitgn.ac.in,6977276542,24,F
28498445,Shanaya Khan,https://robohash.org/28498445.png?set=set4,PhD,Design,2030,shanaya.khan@iitgn.ac.in,7127783953,30,F
28498446,Ishaan Chaudhary,https://robohash.org/28498446.png?set=set4,B.Tech.,Computer Science and Engineering,2026,ishaan.chaudhary@iitgn.ac.in,8938941125,18,M
28498447,Kiaan Khan,https://robohash.org/28498447.png?set=set4,B.Tech.-M.Tech. Dual Degree,Mechanical Engineering,2026,kiaan.khan@iitgn.ac.in,8955939794,22,M
28498448,Inaaya Shah,https://robohash.org/28498448.png?set=set4,B.Tech.,Integrated Circuit Design & Technology,2030,inaaya.shah@iitgn.ac.in,6083558530,18,F
28498449,Aadhya Sharma,https://robohash.org/28498449.png?set=set4,PhD,Design,2030,aadhya.sharma@iitgn.ac.in,9167768520,28,F
28498450,Diya Rao,https://robohash.org/28498450.png?set=set4,PhD,Design,2030,diya.rao@iitgn.ac.in,7685045165,26,F
28498451,Diya Iyer,https://robohash.org/28498451.png?set=set4,PhD,Humanities & Social Sciences,2026,diya.iyer@iitgn.ac.in,7992992383,35,F
28498452,Ishaan Reddy,https://robohash.org/28498452.png?set=set4,M.Tech.,Computer Science and Engineering,2029,ishaan.reddy@iitgn.ac.in,7440844189,23,M
28498453,Diya Sharma,https://robohash.org/28498453.png?set=set4,PhD,Electrical Engineering,2026,diya.sharma@iitgn.ac.in,6832443945,24,F
28498454,Aadhya Khan,https://robohash.org/28498454.png?set=set4,B.Tech.-M.Tech. Dual Degree,Computer Science and Engineering,2028,aadhya.khan@iitgn.ac.in,7467612805,20,F
28498455,Reyansh Reddy,https://robohash.org/28498455.png?set=set4,B.Tech.-M.Tech. Dual Degree,Integrated Circuit Design & Technology,2027,reyansh.reddy@iitgn.ac.in,7336558203,19,M
28498456,Vihaan Kumar,https://robohash.org/28498456.png?set=set4,PhD,Design,2027,vihaan.kumar@iitgn.ac.in,8456766208,26,M
28498457,Vihaan Khan,https://robohash.org/28498457.png?set=set4,B.Tech.-M.Tech. Dual Degree,Computer Science and Engineering,2031,vihaan.khan@iitgn.ac.in,9442511298,21,M
28498458,Navya Shah,https://robohash.org/28498458.png?set=set4,M.Tech.,Computer Science and Engineering,2031,navya.shah@iitgn.ac.in,7405900382,24,F
28498459,Vamika Singh,https://robohash.org/28498459.png?set=set4,B.Tech.,Chemical Engineering,2031,vamika.singh@iitgn.ac.in,6550707418,20,F
28498460,Shaurya Patel,https://robohash.org/28498460.png?set=set4,B.Tech.,Computer Science and Engineering,2026,shaurya.patel@iitgn.ac.in,6532512076,20,M
28498461,Arjun Gupta,https://robohash.org/28498461.png?set=set4,M.Tech.,Artificial Intelligence,2029,arjun.gupta@iitgn.ac.in,6691635952,27,M
28498462,Shaurya Singh,https://robohash.org/28498462.png?set=set4,B.Tech.-M.Tech. Dual Degree,Materials Engineering,2031,shaurya.singh@iitgn.ac.in,8866823487,23,M
28498463,Reyansh Agarwal,https://robohash.org/28498463.png?set=set4,B.Tech.,Integrated Circuit Design & Technology,2027,reyansh.agarwal@iitgn.ac.in,7170048076,21,M
28498464,Kiara Rao,https://robohash.org/28498464.png?set=set4,B.Tech.,Integrated Circuit Design & Technology,2026,kiara.rao@iitgn.ac.in,9896175005,21,F
28498465,Shaurya Gupta,https://robohash.org/28498465.png?set=set4,B.Tech.,Materials Engineering,2028,shaurya.gupta@iitgn.ac.in,6560622915,18,M
28498466,Reyansh Mishra,https://robohash.org/28498466.png?set=set4,B.Tech.,Computer Science and Engineering,2028,reyansh.mishra@iitgn.ac.in,7001045689,23,M
28498467,Anaya Shah,https://robohash.org/28498467.png?set=set4,B.Tech.,Artificial Intelligence,2028,anaya.shah@iitgn.ac.in,8845782775,22,F
